Feature,Mean_Weight,Abs_Importance
Palmitoleic acid_Block1,-3.295180496173644,3.295180496173644
Cortisol_Block2,-3.287373173167695,3.287373173167695
Platelet-activating factor_Block2,-3.284056895210219,3.284056895210219
Urocanic acid_Block1,-3.2656154302417706,3.2656154302417706
"3beta,7alpha-Dihydroxy-5-cholestenoate_Block1",3.2386223564821157,3.2386223564821157
b-Ala-Lys_Block2,-3.2312909752469507,3.2312909752469507
Aminoadipic acid_Block1,3.1779284729806814,3.1779284729806814
D-Tyrosine_Block1,3.1501902020908767,3.1501902020908767
Decanoylcarnitine_Block2,3.076034164168518,3.076034164168518
Gly-His_Block1,3.011383540021669,3.011383540021669
D-Sphingosine 1-phosphate_Block2,-2.9501171055526196,2.9501171055526196
N-Phenylacetylglutamine_Block1,-2.945767956959208,2.945767956959208
palmitoleoyl ethanolamide_Block1,-2.9410712299260133,2.9410712299260133
(R)-3-hydroxybutyrylcarnitine_Block2,2.8795616319839863,2.8795616319839863
C12-Carnitine_Block2,2.877686486468822,2.877686486468822
"3a,7a-Dihydroxycholanoic acid_Block1",2.856577286416214,2.856577286416214
Valylvaline_Block2,-2.8046844895467378,2.8046844895467378
Oleoylcarnitine_Block2,-2.8040629330057643,2.8040629330057643
Betaine_Block2,2.782809654682765,2.782809654682765
"1,7-Dimethyluric acid_Block1",2.7778747697880997,2.7778747697880997
epsilon-(gamma-Glutamyl)-lysine_Block2,-2.7752284460933847,2.7752284460933847
dl-3-Indolelactic acid_Block1,2.7700672275213836,2.7700672275213836
L-(-)-methionine_Block2,2.745138983868205,2.745138983868205
L-(+)-Alanine_Block1,-2.597536875446543,2.597536875446543
L(-)-Carnitine_Block2,2.5741245604746985,2.5741245604746985
Glycochenodeoxycholic acid_Block1,2.557172622641918,2.557172622641918
Stachydrine_Block2,-2.52033234839396,2.52033234839396
Taurochenodeoxycholic Acid_Block1,-2.5009535987042963,2.5009535987042963
gamma-Glu-gln_Block2,-2.3694978545197625,2.3694978545197625
C8-Carnitine_Block2,2.3561733536243574,2.3561733536243574
Hexanoylcarnitine_Block2,-2.323775401517667,2.323775401517667
trans-4-Hydroxy-L-proline_Block2,2.323420721829867,2.323420721829867
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide_Block2",-2.322601651860503,2.322601651860503
5-hydroxyisouric acid_Block1,2.2729751336306134,2.2729751336306134
3-hydroxyoctanoylcarnitine_Block2,2.271224409478269,2.271224409478269
Ala-Leu_Block2,2.254774047166233,2.254774047166233
Taurodeoxycholic acid_Block2,-2.2417115785047197,2.2417115785047197
trans-3-Indoleacrylic acid_Block2,2.2074822801318446,2.2074822801318446
L-Phenylalanine_Block1,-2.176423933754065,2.176423933754065
Pentahomoserine_Block2,-2.1500445729214253,2.1500445729214253
16alpha-hydroxydehydroepiandrosterone 3-sulfate_Block1,-2.1453944431492324,2.1453944431492324
Leucylproline_Block2,2.134992433586566,2.134992433586566
Acetylcholine_Block2,-2.106650611962386,2.106650611962386
Homocitrulline_Block2,-2.0741088729198,2.0741088729198
Ac-Ala-OH_Block1,-2.0536710541609944,2.0536710541609944
Sphingosine (d18:1)_Block2,2.025120795041402,2.025120795041402
3-Hydroxyvaleric acid_Block1,2.0175648059472726,2.0175648059472726
DL-Lysine_Block2,-1.9366569119329922,1.9366569119329922
L-Aspartic acid_Block2,-1.9032454452170304,1.9032454452170304
N-Tridecanoylglycine_Block2,-1.8880639824074517,1.8880639824074517
Hypoxanthin_Block1,-1.8500086183886335,1.8500086183886335
Androsterone sulfate_Block1,-1.8383243990394513,1.8383243990394513
β-Estradiol_Block1,1.8091044683559987,1.8091044683559987
Deoxycholic Acid_Block1,1.7376576937298351,1.7376576937298351
Bilirubin_Block1,1.716158239544471,1.716158239544471
3-oxopalmitic acid_Block1,-1.7017971382966777,1.7017971382966777
Pipecolic acid_Block2,-1.6989683204347041,1.6989683204347041
ethyl argininate_Block2,-1.664140176645071,1.664140176645071
g-Guanidinobutyrate_Block2,1.6594752953514962,1.6594752953514962
L-Histidine_Block2,1.554855083768623,1.554855083768623
Malondialdehyde_Block1,-1.5269866672549097,1.5269866672549097
Deoxyguanosine diphosphate (dGDP)_Block1,-1.5168325582286755,1.5168325582286755
Glutarylcarnitine_Block2,1.487511849665764,1.487511849665764
Dihydrothymine_Block2,-1.2554451875196095,1.2554451875196095
"N3,N4-Dimethyl-L-arginine_Block2",1.2483061792540049,1.2483061792540049
Tetramethylurea_Block2,-1.227337267957116,1.227337267957116
5a-Dihydrotestosterone sulfate_Block1,-1.2272682413489777,1.2272682413489777
"N6,N6-Dimethyllysine_Block2",1.2062991287712916,1.2062991287712916
tyr-thr_Block1,-1.0749694649638728,1.0749694649638728
L-(+)-Citrulline_Block2,0.9876199663203133,0.9876199663203133
DL-Homoserine_Block2,0.9444518609535939,0.9444518609535939
L-Glutamic acid_Block2,-0.8728915951243956,0.8728915951243956
N-Acetylleucylleucine_Block2,-0.7835692450153693,0.7835692450153693
L-Serine_Block2,-0.7404681033515834,0.7404681033515834
cis-5-Tetradecenoylcarnitine_Block2,-0.6951489350642267,0.6951489350642267
Arachidonic acid_Block1,0.6631650357572689,0.6631650357572689
Trihydroxycoprostanoic acid_Block2,0.6491966691793037,0.6491966691793037
Creatine_Block2,0.6279919432597656,0.6279919432597656
Glutamylalanine_Block2,0.6010176171421483,0.6010176171421483
Myrmicacin_Block2,0.5784329557098348,0.5784329557098348
7-Methylguanine_Block2,-0.5223732812292283,0.5223732812292283
3-Hydroxydodecanoic acid_Block2,0.5028070786387109,0.5028070786387109
Uric Acid_Block1,0.4863790014023053,0.4863790014023053
3-Indoxyl sulphate_Block1,-0.4848963235960135,0.4848963235960135
Testosterone sulfate_Block1,-0.4782346971957885,0.4782346971957885
"9,10-Dihydroxystearic acid_Block2",-0.3541435154116828,0.3541435154116828
L-Isoleucine_Block2,0.31786589812258004,0.31786589812258004
"5beta-Cholestane-3alpha,7alpha,12alpha,23,25-pentol_Block2",0.2663851042959925,0.2663851042959925
2-methylbutyrylcarnitine_Block2,0.2640227406575728,0.2640227406575728
L-Pyroglutamic Acid_Block2,-0.2500909759588772,0.2500909759588772
Creatinine_Block2,-0.22634817415799136,0.22634817415799136
3-Methylglutarylcarnitine_Block2,0.20624958266115928,0.20624958266115928
Panthenol_Block2,-0.17543365498663888,0.17543365498663888
Propionylcarnitine_Block2,0.15807868583535667,0.15807868583535667
Aceglutamide_Block2,0.13786017662442118,0.13786017662442118
Glucosylgalactosyl hydroxylysine_Block2,-0.13364619217796614,0.13364619217796614
DL-Glutamine_Block2,-0.10751276686682387,0.10751276686682387
Taurohyocholic acid_Block1,-0.034290277112085654,0.034290277112085654
4-Pyridoxic acid_Block2,-0.022192387212482095,0.022192387212482095
D-(+)-Glucose_Block1,-0.005959626896455017,0.005959626896455017
