Feature,Selected_In_At_Least_One_Fold,Excluded_In_All_Folds,Times_Selected,Mean_Coefficient_Importance
"N6,N6-Dimethyllysine_Block2",NO,YES,0/5,0.0
N6-METHYLLYSINE_Block2,NO,YES,0/5,0.0
N-Acetylleucylleucine_Block2,NO,YES,0/5,0.0
N-Acetylneuraminic acid_Block2,NO,YES,0/5,0.0
neuraminic acid_Block2,NO,YES,0/5,0.0
N-Glycosyl-L-asparagine_Block2,NO,YES,0/5,0.0
N-Tridecanoylglycine_Block2,NO,YES,0/5,0.0
Oleoylcarnitine_Block2,NO,YES,0/5,0.0
Palmitoylcarnitine_Block2,NO,YES,0/5,0.0
Panthenol_Block2,NO,YES,0/5,0.0
Pentahomoserine_Block2,NO,YES,0/5,0.0
Pipecolic acid_Block2,NO,YES,0/5,0.0
Platelet-activating factor_Block2,NO,YES,0/5,0.0
Propionylcarnitine_Block2,NO,YES,0/5,0.0
Sphingosine (d18:1)_Block2,NO,YES,0/5,0.0
Stachydrine_Block2,NO,YES,0/5,0.0
Taurine_Block2,NO,YES,0/5,0.0
Taurodeoxycholic acid_Block2,NO,YES,0/5,0.0
Tetramethylurea_Block2,NO,YES,0/5,0.0
trans-2-Dodecenoylcarnitine_Block2,NO,YES,0/5,0.0
trans-3-Indoleacrylic acid_Block2,NO,YES,0/5,0.0
trans-4-Hydroxy-L-proline_Block2,NO,YES,0/5,0.0
Trihydroxycoprostanoic acid_Block2,NO,YES,0/5,0.0
Val-lys_Block2,NO,YES,0/5,0.0
Valylvaline_Block2,NO,YES,0/5,0.0
Υ-L-Glutamyl-L-glutamic acid_Block2,NO,YES,0/5,0.0
