Feature,Mean_Gini_Importance
L-(+)-Alanine_Block1,0.0018758503111579044
16alpha-hydroxydehydroepiandrosterone 3-sulfate_Block1,0.0018712723375249468
L-Pyroglutamic Acid_Block2,0.0018694707952914952
Glucosylgalactosyl hydroxylysine_Block2,0.0018134778117984422
N-Phenylacetylglutamine_Block1,0.0018111187717194794
tyr-thr_Block1,0.0018026830537767144
L-(-)-methionine_Block2,0.0017981260449851742
D-Tyrosine_Block1,0.0017859360690909056
g-Guanidinobutyrate_Block2,0.0017845100449354293
C12-Carnitine_Block2,0.0017551832120700928
Betaine_Block2,0.0017457696650143126
Homo-L-arginine_Block2,0.0017313132865560902
Deoxycholic Acid_Block1,0.0017210786854827934
D-(+)-Glucose_Block1,0.0017166613634279787
N-Tridecanoylglycine_Block2,0.0016900899160233172
D-Sphingosine 1-phosphate_Block2,0.0016716441528806035
Glycodeoxycholic acid_Block2,0.001671541364495903
gamma-Glu-gln_Block2,0.001663277537758734
3-Hydroxyvaleric acid_Block1,0.0016594513549398455
L-Serine_Block2,0.001641145776941934
L-Isoleucine_Block2,0.0016388264344498332
"3a,7a-Dihydroxycholanoic acid_Block1",0.0016377356435459272
trans-2-Dodecenoylcarnitine_Block2,0.0016229386864603553
Taurohyocholic acid_Block1,0.0016143631203062124
L-Aspartic acid_Block2,0.001610827692929396
"9,10-Dihydroxystearic acid_Block2",0.0015995631449837483
Cortisol_Block2,0.0015871343184226088
Testosterone sulfate_Block1,0.0015818223061803388
Sphingosine (d18:1)_Block2,0.0015781514575869088
L-(+)-Citrulline_Block2,0.00157318138337263
L-Phenylalanine_Block1,0.0015664061049026241
D(+)-Phenyllactic acid_Block1,0.0015661107929578668
Creatinine_Block2,0.0015660033356768028
N-2-Acetyl-L-ornithine_Block1,0.0015498915981237078
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide_Block2",0.0015458389241060912
Palmitoylcarnitine_Block2,0.0015365379580335905
L-Methionine sulfoxide_Block2,0.00153066467985765
DL-Lysine_Block2,0.001524659459079222
"N6,N6-Dimethyllysine_Block2",0.0015155028963259177
2-methylbutyrylcarnitine_Block2,0.0015009652554927157
Hydroxyhexanoycarnitine_Block2,0.0014777870098741956
Valylvaline_Block2,0.0014663211975376052
ethyl argininate_Block2,0.0014649022559077754
C8-Carnitine_Block2,0.0014244972967147498
Acetylcholine_Block2,0.001416319858639301
3-Hydroxydodecanoic acid_Block2,0.0014099427238403318
cis-5-Tetradecenoylcarnitine_Block2,0.001409341806061649
Malondialdehyde_Block1,0.0013912295239005223
N6-METHYLLYSINE_Block2,0.0013706671526518804
Homocitrulline_Block2,0.0013690063320948112
DL-Glutamine_Block2,0.0013655400705545645
9-Decenoylcarnitine_Block2,0.0013568035342803552
4-Pyridoxic acid_Block2,0.001329701924978298
Glycochenodeoxycholic acid_Block1,0.0013272677472430528
Creatine_Block2,0.001297328255858946
N-Acetylleucylleucine_Block2,0.0012842285148973404
Aspartylglucosamine_Block1,0.0012814346274690675
Taurodeoxycholic acid_Block2,0.0012751795879240018
Dihydrothymine_Block2,0.0012726593975401015
Myrmicacin_Block2,0.0012657497964149343
Decanoylcarnitine_Block2,0.0012631503086369246
Uric Acid_Block1,0.001230327809096195
(R)-3-hydroxybutyrylcarnitine_Block2,0.0012118196570717252
"5beta-Cholestane-3alpha,7alpha,12alpha,23,25-pentol_Block2",0.0012100574843749768
5-hydroxyisouric acid_Block1,0.001205841107540584
Glycocholic acid_Block1,0.0010843728627438626
Gly-His_Block1,0.0010718901787291164
Propionylcarnitine_Block2,0.0010515515638132526
"1,7-Dimethyluric acid_Block1",0.0010158384490306066
Pseudouridine_Block1,0.0009444295887560426
Taurochenodeoxycholic Acid_Block1,0.0008927201734284998
